nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Max Linder,1883-12-16T00:00:00Z,Saint-Loubès,1925-10-31T00:00:00Z,Paris,
Georges Clemenceau,1841-09-28T00:00:00Z,Mouilleron-en-Pareds,1929-11-24T00:00:00Z,Paris,"député, maire d'arrondissement, président du Conseil, ministre de la Guerre, sénateur, fauteuil 3 de l'Académie française"
Aristide Briand,1862-03-28T00:00:00Z,Nantes,1932-03-07T00:00:00Z,Paris,"député, président du Conseil"
Paul Doumer,1857-03-22T00:00:00Z,Aurillac,1932-05-07T00:00:00Z,Paris,"président de la République française, député, conseiller général, sénateur"
René Bazin,1853-12-26T00:00:00Z,Angers,1932-07-20T00:00:00Z,Paris,fauteuil 30 de l'Académie française
Louis Lépine,1846-08-06T00:00:00Z,Lyon,1933-11-09T00:00:00Z,Paris,"député, sous-préfet, préfet de police de Paris"
Raymond Poincaré,1860-08-20T00:00:00Z,Bar-le-Duc,1934-10-15T00:00:00Z,Paris,"président de la République française, coprince d'Andorre, bâtonnier, Premier ministre français, député, président du Conseil, conseiller général, sénateur, ministre de l'Éducation nationale, ministre de l'Économie, des Finances et de l'Industrie, fauteuil 34 de l'Académie française"
Fulgence Bienvenüe,1852-01-27T00:00:00Z,Uzel,1936-08-03T00:00:00Z,Paris,
Edmond Huet,1827-02-06T00:00:00Z,,1906-11-12T00:00:00Z,7e arrondissement de Paris,
Henri Delacroix,1873-12-02T00:00:00Z,Paris,1937-12-03T00:00:00Z,Paris,doyen
Maurice Ravel,1875-03-07T00:00:00Z,Ciboure,1937-12-28T00:00:00Z,Paris,
Lucie Manvel,1863-05-01T00:00:00Z,Marseille,1943-11-03T00:00:00Z,Paris,
Albert Marquet,1875-03-27T00:00:00Z,Bordeaux,1947-06-14T00:00:00Z,Paris,
Tristan Bernard,1866-09-07T00:00:00Z,Besançon,1947-12-07T00:00:00Z,Paris,
