nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions,birthYear,deathYear
Louis de Navarre,1341-01-01T00:00:00Z,,1376-01-01T00:00:00Z,Pouilles,Q6412197,1341.0,1376.0
Jean Salmon Macrin,1490-01-01T00:00:00Z,Loudun,1557-10-20T00:00:00Z,Loudun,,1490.0,1557.0
Jean de Chalon,1350-01-01T00:00:00Z,,1335-01-01T00:00:00Z,,,1350.0,1335.0
Jean Chandorat,,Le Puy-en-Velay,1356-01-01T00:00:00Z,,"évêque du Puy-en-Velay, abbé de La Chaise-Dieu",,1356.0
Jean de Cologne,1410-01-01T00:00:00Z,Cologne,1481-01-01T00:00:00Z,,,1410.0,1481.0
Pierre du Moulin,,,1451-10-03T00:00:00Z,,archevêque,,1451.0
Jean Fouquet,1420-01-01T00:00:00Z,Tours,1480-01-01T00:00:00Z,Tours,peintre de cour,1420.0,1480.0
Richard le Grant,1150-01-01T00:00:00Z,,1231-08-10T00:00:00Z,,"Archevêque de Canterbury, archevêque catholique",1150.0,1231.0
Pierre de Navarre,1366-03-31T00:00:00Z,Évreux,1412-07-29T00:00:00Z,Sancerre,,1366.0,1412.0
Q6171770,,,1304-01-01T00:00:00Z,Pérouse,,,1304.0
Jean de Portugal,1400-01-21T00:00:00Z,Santarém,1442-10-27T00:00:00Z,Alcácer do Sal,Q67049334,1400.0,1442.0
Grégoire XI,1329-01-01T00:00:00Z,Rosiers-d'Égletons,1378-04-04T00:00:00Z,Rome,pape,1329.0,1378.0
Andouin Aubert,1300-01-01T00:00:00Z,France,1363-05-10T00:00:00Z,Avignon,"doyen du Collège des cardinaux, évêque catholique, évêque diocésain, cardinal-évêque",1300.0,1363.0
Geoffroy de Boulogne,,,1095-01-01T00:00:00Z,,"évêque, évêque de Paris",,1095.0
Guillaume Chartier,1395-01-01T00:00:00Z,Bayeux,1472-05-10T00:00:00Z,Paris,"évêque catholique, évêque diocésain, évêque de Paris",1395.0,1472.0
Jean Courtecuisse,1350-01-01T00:00:00Z,Le Mans,1423-03-04T00:00:00Z,Genève,évêque,1350.0,1423.0
Antoine Crespin,,,1472-10-15T00:00:00Z,Rouen,archevêque de Narbonne,,1472.0
Jacques du Chastelier,1350-01-01T00:00:00Z,,1438-11-02T00:00:00Z,Paris,évêque,1350.0,1438.0
Denis du Moulin,,Meaux,1447-09-15T00:00:00Z,Paris,"archevêque, évêque diocésain, archevêque catholique",,1447.0
Jean de Nant,,Bourgogne-Franche-Comté,1426-10-07T00:00:00Z,Paris,"abbé, archevêque de Vienne",,1426.0
Pierre d'Orgemont,1315-01-01T00:00:00Z,Lagny-sur-Marne,1389-06-03T00:00:00Z,Paris,,1315.0,1389.0
Q64761969,,,1223-11-30T00:00:00Z,,"évêque catholique, évêque diocésain",,1223.0
Odon de Sully,1166-01-01T00:00:00Z,,1208-07-20T00:00:00Z,,évêque de Paris,1166.0,1208.0
Maurice de Sully,1110-01-01T00:00:00Z,Sully-sur-Loire,1196-09-18T00:00:00Z,Paris,"évêque catholique, évêque diocésain, évêque de Paris",1110.0,1196.0
Nicolas de Bec-Crespin,1201-01-01T00:00:00Z,Normandie,1318-08-30T00:00:00Z,Avignon,"cardinal, évêque catholique",1201.0,1318.0
Louis du Bellay,1445-01-01T00:00:00Z,,1504-01-01T00:00:00Z,,,1445.0,1504.0
Jacques Jouvenel des Ursins,1410-10-14T00:00:00Z,,1457-03-12T00:00:00Z,,archevêque,1410.0,1457.0
Guillaume de La Jugie,1317-01-01T00:00:00Z,France,1374-04-28T00:00:00Z,Avignon,"cardinal, évêque catholique",1317.0,1374.0
Henri Dauphin,1296-01-01T00:00:00Z,t1617491408,1328-01-01T00:00:00Z,t1617491453,évêque de Metz,1296.0,1328.0
Gilles de Lorris,1334-01-01T00:00:00Z,,1388-11-28T00:00:00Z,,évêque,1334.0,1388.0
Gilles Rigaud de Ruffiac,,Rouffiac,1353-09-10T00:00:00Z,Paris,cardinal,,1353.0
Pierre de Villaines,,Bayeux,1360-09-03T00:00:00Z,,évêque,,1360.0
Robert Ciboule,1403-01-01T00:00:00Z,,1458-01-01T00:00:00Z,Paris,,1403.0,1458.0
Renaud de Fontaines,,Champagne,1442-09-14T00:00:00Z,,"évêque catholique, évêque diocésain",,1442.0
Nicolas de Saint-Saturnin,,Auvergne,1382-01-23T00:00:00Z,Avignon,cardinal,,1382.0
